circuit_width,circuit_depth,u1,u2,u3,cx,hamming_weight,25_observed_state_prob,50_observed_state_prob,75_observed_state_prob,25_frc_state_error,50_frc_state_error,75_frc_state_error,25_frc_program_error,50_frc_program_error,75_frc_program_error,true_probability,state_name
4,4,5,2,1,4,4,0.0,0.0,0.0,8.0,9.0,12.0,96.00000000000001,96.00000000000001,98.0,0.0,1111
5,3,1,1,1,6,0,26.0,30.0,33.0,36.0,39.5,42.25000000000001,36.00000000000001,39.5,42.25000000000001,42.0,00000
5,3,1,1,1,6,1,6.0,7.000000000000001,9.0,2.0,4.0,5.0,36.00000000000001,39.5,42.25000000000001,0.0,00001
5,3,1,1,1,6,1,2.0,3.0,4.0,1.0,2.0,3.0,36.00000000000001,39.5,42.25000000000001,0.0,00010
5,3,1,1,1,6,2,6.0,8.0,10.0,8.0,10.0,12.0,36.00000000000001,39.5,42.25000000000001,8.0,00011
5,3,1,1,1,6,1,5.0,6.0,8.0,7.000000000000001,9.5,12.0,36.00000000000001,39.5,42.25000000000001,0.0,00100
5,3,1,1,1,6,2,22.0,25.0,28.999999999999996,0.0,0.0,1.0,36.00000000000001,39.5,42.25000000000001,36.0,00101
5,3,1,1,1,6,2,6.0,8.0,10.0,0.0,0.0,1.0,36.00000000000001,39.5,42.25000000000001,14.000000000000002,00110
5,3,1,1,1,6,3,1.0,2.0,3.0,1.0,2.0,2.0,36.00000000000001,39.5,42.25000000000001,0.0,00111
5,3,1,1,1,6,1,0.0,0.0,1.0,0.0,1.0,1.0,36.00000000000001,39.5,42.25000000000001,0.0,01000
5,3,1,1,1,6,2,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,01001
5,3,1,1,1,6,2,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,01010
5,3,1,1,1,6,3,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,01011
5,3,1,1,1,6,2,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,01100
5,3,1,1,1,6,3,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,01101
5,3,1,1,1,6,3,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,01110
5,3,1,1,1,6,4,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,01111
5,3,1,1,1,6,1,1.7500000000000002,3.0,4.0,4.0,5.0,7.000000000000001,36.00000000000001,39.5,42.25000000000001,0.0,10000
5,3,1,1,1,6,2,0.0,0.0,1.0,0.0,0.0,1.0,36.00000000000001,39.5,42.25000000000001,0.0,10001
5,3,1,1,1,6,2,0.0,0.0,1.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,10010
5,3,1,1,1,6,3,0.0,1.0,1.0,0.0,1.0,2.0,36.00000000000001,39.5,42.25000000000001,0.0,10011
5,3,1,1,1,6,2,0.0,0.0,1.0,0.0,1.0,1.0,36.00000000000001,39.5,42.25000000000001,0.0,10100
5,3,1,1,1,6,3,1.0,2.0,4.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,10101
5,3,1,1,1,6,3,0.0,1.0,1.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,10110
5,3,1,1,1,6,4,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,10111
5,3,1,1,1,6,2,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,11000
5,3,1,1,1,6,3,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,11001
5,3,1,1,1,6,3,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,11010
5,3,1,1,1,6,4,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,11011
5,3,1,1,1,6,3,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,11100
5,3,1,1,1,6,4,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,11101
5,3,1,1,1,6,4,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,11110
5,3,1,1,1,6,5,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000001,39.5,42.25000000000001,0.0,11111
1,4,0,4,0,0,0,25.0,28.000000000000004,30.0,8.999999999999996,10.999999999999998,13.25,8.999999999999998,10.999999999999998,13.25,18.0,0
1,4,0,4,0,0,1,70.0,72.0,75.0,9.0,11.0,13.25,8.999999999999998,10.999999999999998,13.25,82.0,1
2,3,2,0,0,2,0,90.0,92.0,94.0,6.000000000000005,6.999999999999995,8.999999999999996,6.000000000000003,6.999999999999998,8.999999999999998,100.0,00
2,3,2,0,0,2,1,3.0,5.0,7.000000000000001,3.0,5.0,6.25,6.000000000000003,6.999999999999998,8.999999999999998,0.0,01
2,3,2,0,0,2,1,1.0,2.0,4.0,1.0,2.0,3.0,6.000000000000003,6.999999999999998,8.999999999999998,0.0,10
2,3,2,0,0,2,2,0.0,0.0,1.0,0.0,0.0,1.0,6.000000000000003,6.999999999999998,8.999999999999998,0.0,11
5,1,0,2,1,1,0,2.0,3.0,4.0,62.0,65.0,68.0,62.000000000000014,65.00000000000001,68.0,4.0,00000
